Type,Component,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01
Income,Salary,60000,60000,60000,60000,60000,60000,60000,60000,66000,66000,66000,66000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75000,75600,75600,75600,75600
Income,Freelancig,1000,1000,2000,3000,3000,2000,2000,1000,1000,1000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,7000,7000,7000,6000,6000,6000,6000,6000
Savings,Mutual funds,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,8000,8000
Savings,Emergency Fund,2000,2000,2000,2000,2000,2000,2000,0,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,1000,0,0,0,0,0,0,0,0,2000,0,1000,1000,1000,1000,2000,1000,3000,3000
Savings,Fixed Deposit,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,0,0,0,2000,2000,2000,2000,1000,1000,1000,2000,0,0,0,0,0,0,0,0,2000,0,0,2000,2000,2600,2600,2600,2600
Savings,Liquid Cash,35600,34600,36600,36600,37600,35600,34600,34600,32000,35200,41200,39200,44000,44400,44400,43400,43400,43400,42600,43600,41600,42500,38500,34100,36100,36100,37500,38100,36100,39200,37200,36400,36200,37200,32200,31200,31200,31750
Expense,House Rent,10000,10000,10000,10000,10000,10000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
Expense,Groceries & Food,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,8000,8000,7000,7000,7000,7000,7000,7000,7000,8000,8000,8000,10000,10000,10000,10000,8000,8000,8000,10000,10000,10000,8000,10000,10000,9000,9000
Expense,Health,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,3000,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4000,3000,3000
Expense,EMIs,2600,2600,2600,2600,2600,2600,2600,2600,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,7000,7000,7000,7000,7000,7000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,12000,12000,12000,12000
Expense,Leisure,600,1600,600,1600,600,1600,600,1600,4000,1600,1600,1600,0,0,0,1000,1000,1000,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,600,1600,3000,1600,1600,1600,1600,1600,1600
Expense,Shopping,1000,1000,1000,1000,1000,1000,1000,1000,2000,1000,1000,1000,0,0,0,0,0,1000,0,0,0,1000,1000,2000,2000,2000,600,2000,2000,0,3000,2000,2000,2000,2000,3000,3000,2000
Expense,Trevel,200,200,200,200,200,200,200,200,4000,200,200,200,0,0,0,0,0,0,200,200,200,300,300,300,300,300,300,300,300,200,200,600,200,200,200,200,200,200
Expense,Other,100,300,500,300,100,200,700,200,800,200,133,200,0,0,400,0,500,0,200,170,184,300,300,164,0,300,300,300,200,90,200,600,800,200,200,400,200,450
Target,Savings,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
